#TAXONOMY	display_taxon	Species	Genus	Family	Order	Class	Phylum	Kingdom
be1d1f378ec42891a7a87e413fb1fc9c	Limosilactobacillus urinaemulieris	 Limosilactobacillus urinaemulieris	 Limosilactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli	 Bacillota	Bacteria
d7de338b8f33df95d2212f0fa2b74f29	Prevotella buccalis	 Prevotella buccalis	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
16b3d8a7f19b0c39bbd36adf92befe37	Lactobacillus iners	 Lactobacillus iners	 Lactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
4abee45df418d2f53bdfec1ec96c1232	Megasphaera_C lornae	 Megasphaera_C lornae	 Megasphaera_C	 Megasphaeraceae	 Veillonellales	 Negativicutes	 Bacillota_C	Bacteria
acc06c9238e8f6cada88414daaf262af	Burkholderia-Caballeronia-Paraburkholderia arboris	 Burkholderia-Caballeronia-Paraburkholderia arboris	 Burkholderia-Caballeronia-Paraburkholderia	 Burkholderiaceae	 Burkholderiales	 Gammaproteobacteria	 Pseudomonadota	Bacteria
a3cfa4777a683703251ef0b7094e3940	Bifidobacterium_388775 swidsinskii	 Bifidobacterium_388775 swidsinskii	 Bifidobacterium_388775	 Bifidobacteriaceae	 Actinomycetales	 Actinomycetes	 Actinomycetota	Bacteria
c4a0c3edfea3781ced9d29436c3eaae3	Gardnerella vaginalis	 Gardnerella vaginalis	 Gardnerella	 Bifidobacteriaceae	 Bifidobacteriales	 Actinobacteria	 Actinomycetota	Bacteria
051fc02e4dfd2f6785983f73a487abfd	Lactobacillus iners	 Lactobacillus iners	 Lactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
c0cf98e07cea6df5fc85aa4ea9c9ee71	Lactobacillus (genus)	 Unclassified	 Lactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli	 Bacillota	Bacteria
9425a8bf71c7f088680667d441fcc35e	Lactobacillus iners	 Lactobacillus iners	 Lactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli	 Bacillota	Bacteria
57be756038c01d4720e78c65e73290d9	Prevotella amnii	 Prevotella amnii	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
c63742d94581a96a9243e0f11882065e	Peptoniphilus_A harei_A	 Peptoniphilus_A harei_A	 Peptoniphilus_A	 Peptoniphilaceae	 Tissierellales	 Clostridia_258483	 Bacillota_A_368345	Bacteria
d21cb9f111a5391166191aace953b8e9	Veillonella_A montpellierensis	 Veillonella_A montpellierensis	 Veillonella_A	 Veillonellaceae	 Veillonellales	 Negativicutes	 Bacillota_C	Bacteria
6f38a0d67eaf764960297eba0398b966	Dialister_37762 sp001553355	 Dialister_37762 sp001553355	 Dialister_37762	 Dialisteraceae	 Veillonellales	 Negativicutes	 Bacillota_C	Bacteria
2afdb907935ab11fa57a71a3714c4034	Prevotella bivia	 Prevotella bivia	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
e0b65840ddd61e69626037f01ef2ec03	Limosilactobacillus coleohominis_A	 Limosilactobacillus coleohominis_A	 Limosilactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
bde1ba85fe9dd2b6c76ced870cdd58a1	Prevotella buccalis	 Prevotella buccalis	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
05036999552d7347c62dfad30846e21a	Megasphaera (genus)	 Unclassified	 Megasphaera	 Veillonellaceae	 Veillonellales-Selenomonadales	 Negativicutes	 Bacillota	Bacteria
a5608f668254a16188afa9f35195aa7a	Megasphaera C lornae	 Megasphaera C lornae	 Megasphaera_C	 Megasphaeraceae	 Veillonellales	 Negativicutes	 Bacillota_C	Bacteria
8fc8d93e36e79c13003e5cf41a981cbf	Lactobacillus iners	 Lactobacillus iners	 Lactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
da1bd9cc90b21065ab6e8b79914aa314	Prevotella buccalis	 Prevotella buccalis	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
09d54c74a19a67b5a7554b3d651121fe	Bacteria (kingdom)	 Unclassified	 Unclassified	 Unclassified	 Unclassified	 Unclassified	 Unclassified	Bacteria
a7f53760e4887fd247940214df868ae6	Prevotella buccalis	 Prevotella buccalis	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
b78034a0fe2ae1418a94b88f83f603e0	Sneathia sanguinegens	 Sneathia sanguinegens	 Sneathia	 Leptotrichiaceae	 Fusobacteriales	 Fusobacteriia	 Fusobacteriota	Bacteria
