sample-id
NPT25
NPT06
NPT23
NPT07
NPT11
NPT24
PT15
PT18
PT24
PT25
NPT15
PT02
PT03
PT04
PT13
NPT09
PT08
PT10
PT11
PT05
PT01
PT19
PT16
PT17
NPT17
PT23
PT21
PT22
NPT12
NPT03
NPT13
NPT14
PT06
PT20
PT12
PT09
PT14
NPT18
NPT05
NPT22
NPT19
NPT20
NPT10
PT07
