#TAXONOMY	Kingdom	Phylum	Class	Order	Family 	Genus	Species 
4b44310024931d320b696aca7f0da87e	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus crispatus
b0442628bd715bda30dc7d9fe8c2ef71	Bacteria	 Actinomycetota	 Coriobacteriia	 Coriobacteriales	 Eggerthellaceae	 Berryella	 Berryella sp001552935
fe3130277b65278703b321242a257e82	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Limosilactobacillus	 Limosilactobacillus vaginalis
d22d7c240aca97844104c7253593321e	Bacteria	 Actinomycetota	 Coriobacteriia	 Coriobacteriales	 Atopobiaceae	 Fannyhessea	 Fannyhessea massiliensis
9e963f4c34fb5a3b598ce32cd3225113	Bacteria	 Bacillota_A	 Clostridia	 Tissierellales	 Peptoniphilaceae	 Parvimonas	 Parvimonas sp001552895
9c2aeeaf8d216fd3f2e1c7e30d6fc55e	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Limosilactobacillus	 Limosilactobacillus vaginalis
fe9f9e050987da277b8d2831fbcd0979	Bacteria	 Actinomycetota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Gardnerella	 Gardnerella vaginalis
e811fa7f4921b882b134defe9b19cbad	Bacteria	 Bacillota_I	 Bacilli_A	 Staphylococcales	 Gemellaceae	 Gemella	 Gemella asaccharolytica
3b764a61d046b73c139ea0dcee22e729	Bacteria	 Actinomycetota	 Actinobacteria	 Bifidobacteriales	 Bifidobacteriaceae	 Gardnerella	 Gardnerella vaginalis
603b5e795fcc37a1e8217979944332b3	Bacteria	 Bacillota_I	 Bacilli_A	 Lactobacillales	 Lactobacillaceae	 Lactobacillus	 Lactobacillus iners
576f904ed9ca33d6d6a362257afe25f3	Bacteria	 Actinomycetota	 Actinomycetes	 Actinomycetales	 Bifidobacteriaceae	 Bifidobacterium	 Bifidobacterium vaginale B
a5bb1a188ae4dc773e34474176c81a77	Bacteria	 Bacillota_I	 Bacilli_A	 Mycoplasmatales	 Mycoplasmoidaceae	 Ureaplasma	 Ureaplasma parvum
