#NAME,NPT03,NPT05,NPT06,NPT07,NPT09,NPT10,NPT11,NPT12,NPT13,NPT14,NPT15,NPT17,NPT18,NPT19,NPT20,NPT22,NPT23,NPT24,NPT25,PT01,PT02,PT03,PT04,PT05,PT06,PT07,PT08,PT09,PT10,PT11,PT12,PT13,PT14,PT15,PT16,PT17,PT18,PT19,PT20,PT21,PT22,PT23,PT24,PT25
d55279827bf272773e25de18be1632ef,0,0,0,0,0,0,0,0,259,1811,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f46a6f66852fec775ba99dd092a243d3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49b21715b7480cca0cbefc490af0f8f1,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
f3999485d59e1be14d8014d5eba91f2a,399,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1142,23,0,0,0,2,0,190,0,0,0,0,0,0,0,18
3978116112e1f85e5290da36332e9a2d,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,11,0,0,8,14,0,27,0,21,0,0,0,769,0,135,0,92,215,172,0,115
52b4fa148b1a4ef15e2be51aa0e19ed2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,13,1753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356f3aab8370a65c704e90461ecf93ab,0,0,0,0,0,0,0,0,1695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cb2d2690569b0ee7ee2f49e326f353ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1566,0,0,0,0,0,0,0,0,0,0,0
4131de55c9c140c57bc1b4da85d26217,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,1,0,0,0,0,0,0,0,0,1,1024,0,416,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
89192e0d7e6fdf16d7551d6b0eacd853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1497,0,0,0,0,0
91daf4b9c309acb8d72cd77980beff9a,0,0,0,0,0,0,0,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33f40dae7e9926f2b19229297e2ca1b9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,9,20,19,24,0,0,0,0,0,101,0,27,0,271,614,187,0,27
bd3639bc1bdacf23dca01b7f8ef84523,20,0,0,0,0,0,0,0,0,0,0,913,0,0,0,0,0,0,0,98,0,0,0,299,0,0,6,18,0,10,0,0,0,0,4,9,0,0,0,20,23,43,0,4
7a707ef1395399a83fdf1ecb4e5c80c9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfd96cfabbca01a64bdc0e01bc6262d5,0,0,0,0,1372,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d29c8dabf7615e571d7de6fd0de9f089,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1391,1,0,0,0,0,0,3,10,0,0,0,0
deaf327d2d90ea89a929bb8e29fe7d07,0,0,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1e7b093dd32aa9f4f4b00c44f9e37a5e,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,718,217,1,0
58a081749da688d4bdad3feaba7b0f13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,1000,1,0,0,0,0,0,0,0,0,0
7d05fbd695a87f5acbd6e3116361f0ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,1147,0,0,0,0,0
150ca6dcc81ceb61c6373f27a04a4422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,71,36,0,22,0,0,1034,0,0,0,50,0,0,0,6,0
118914d5115e06c030de189f9a77de16,0,0,0,0,0,0,0,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
887a5e32e1adbeb6854ba85118b97470,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,27,6,123,1,14,0,0,0,101,0,492,0,0,0,0,0,0
7d1ea06e3137df1ae059469a09e054e4,1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c0b2e293d103f054be41f35d4bbffe31,74,0,0,0,0,0,0,0,0,0,15,39,0,0,0,0,0,0,0,15,0,5,0,17,0,0,0,0,0,0,0,19,0,0,0,29,0,64,0,194,441,242,0,6
25783b5142a2bb5fb99adb290f2339b2,264,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,18,0,0,0,0,0,0,24,0,299,0,53,79,76,0,5
7b6ab798b6fca1b3c51667b8131488a1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0
8519718c05f3612ea330a020341d8598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,2,0,0,0,0,0,0,0,1021,0,0,0,0,0
44e3d38f2597bc9c03a4d85773c0dcf8,0,0,0,0,13,0,0,0,0,0,0,0,48,0,0,0,0,0,0,18,0,0,0,81,0,0,57,0,16,32,0,0,0,0,0,331,0,335,0,10,15,14,0,38
2e77e92e9bd86b1a20c82d99b8bad95e,0,0,0,0,0,0,0,0,0,0,730,0,0,0,0,0,3,0,0,34,0,0,0,0,0,0,0,11,0,0,0,0,0,33,68,0,0,112,0,0,0,0,4,0
56b202ed04141f187234212df1b575dc,0,0,0,0,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4e0dc11c464e9e683789196685339be0,0,0,0,0,0,0,0,0,0,0,0,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0
07a674fcdc61f9b51bbbb1c726be68f8,192,0,0,0,42,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,6,0,13,0,137,0,0,0,69,269,1,0,29,9,15,14,4,53
f2dfd1b2fa27f8da3c656de1b21dd7ae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,499,237,0,0
cfd573a565eb245422b188449e625273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,0,0,0,0,0,0
75719740e2d99edf891fd15dc97d2858,0,0,0,0,0,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a75ebfe49d889b1b5b200bec5b4a29e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baa6b31c8067ae3a402390023cf4aa32,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200,426,127,0,0
639b5f484cd710b3f81ccd7ef110f5d5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904c2db59dd443a52ba8b775a211b8b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6f2a5fcf0aac6eb9aae32952160d25d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,497,177,0,0
20c6ebcc951146e038f08ccf97e4c0ea,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,8,0,0,0,0,0,0,0,0,0,108,293,115,1,0
3de7d28e83deb769d97e52bf4dc8cdf0,0,0,0,0,0,0,0,0,0,0,0,28,0,5,0,0,0,0,0,46,22,30,35,0,0,0,0,4,13,36,0,296,3,0,0,24,7,270,11,5,0,0,0,0
4d61aed68cb164b1604067af1028029a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8509d387ec8f4a742c212c618453d561,0,1,0,0,14,0,0,0,0,0,76,77,0,0,0,0,0,0,0,27,0,3,0,0,0,3,3,4,14,5,5,0,0,0,36,34,0,56,0,77,207,152,0,7
1fd1c04b5c13d23dde8a0d90d8520c95,0,0,0,0,0,0,0,0,0,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8c0d1a0de23fae2989d6814914c87241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6182c99765cf58b94bf667031072ccf2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ace6cb6bee7ff7c70cd3fcbef86b0097,17,0,0,0,14,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,207,0,130,148,137,0,0
70d75b13283c6df8fe09cd9f97991342,0,0,0,0,0,0,0,0,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02772f9fb3b9e43f77c3f4d696ceeb2d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5cf618258c191ca9e54f3dcfed0a86ba,0,0,0,0,0,4,0,0,0,0,379,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,122,0,10,0,0,0,221,0,1,0,0,0,0
cacef1a879c7ddaede8a9c340c7788b1,0,0,0,0,0,0,0,0,0,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5723e859215814531c58a839f66efc4a,0,0,0,0,0,0,0,0,0,0,705,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69629ba89df7100f162ed6c11997bdad,110,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,48,67,41,0,0,0,0,6,0,0,1,64,0,0,0,195,0,76,6,0,0,0,0,0
16e2937336b16adcbe61ef8f9cd165ce,0,0,219,0,0,441,0,0,0,0,0,0,20,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0
a2e7a7b6943fec0dc5df8b987a3002ab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,369,165,0,0
96ff8110ca267c13790caad28147d145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aaaba0b8ac4fdfb102284cf656fc3a53,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,408,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2531b434e9c3995905478fc67936d5d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508f8fdb4f328996c4d9c4cc0cc8b23e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33a65ce3db8bc32532d63820a90c066d,0,0,0,0,0,0,0,0,0,0,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdc1c4722dfc882d7920ae635a65c50c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,56,0,41,64,18,0,0
0ec267cefaafab27c8d0e8c7bc91fc45,0,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ed507cd4a17083fab9a0eefd444ae9e9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,315,133,0,0
2421f321650373e522769c2b5c0daa1f,0,0,0,0,48,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,88,74,0,0
faceb45624c98986ef525188bad8794a,0,0,0,0,0,0,0,0,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
efbc464ced420c18aff101a98b267ff4,13,0,0,0,4,0,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,51,70,239,154,0,0
b4beb49e455984ea13bc630185fa7ada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0
