task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
40	04/a31d93	70420	pb16S:QC_fastq_post_trim (11)	CACHED	0	2025-02-25 14:46:31.787	2.1s	133ms	201.7%	34 MB	1.4 GB	8.5 MB	2 MB
55	ac/6c7198	38458	pb16S:QC_fastq (27)	CACHED	0	2025-02-25 14:41:12.558	2.4s	355ms	235.6%	40.2 MB	1.4 GB	19.1 MB	7.3 MB
62	b2/2e98e1	54821	pb16S:cutadapt (19)	CACHED	0	2025-02-25 14:44:38.268	3.6s	610ms	504.7%	20.1 MB	40.4 MB	130.9 MB	127.9 MB
58	b0/27e01b	39795	pb16S:QC_fastq (30)	CACHED	0	2025-02-25 14:41:19.908	2.5s	415ms	233.3%	32.8 MB	1.4 GB	21.8 MB	8.1 MB
71	11/f111c0	68331	pb16S:QC_fastq_post_trim (6)	CACHED	0	2025-02-25 14:46:21.182	2.1s	79ms	188.9%	22.2 MB	713.1 MB	4 MB	1 MB
76	c4/df4264	42527	pb16S:QC_fastq (37)	CACHED	0	2025-02-25 14:41:35.655	2.7s	432ms	238.7%	33.4 MB	1.4 GB	18.5 MB	7.4 MB
49	2e/fc28f4	35342	pb16S:QC_fastq (21)	CACHED	0	2025-02-25 14:40:55.550	2.4s	367ms	233.5%	32.9 MB	1.4 GB	20 MB	7.7 MB
66	92/d8fba1	70002	pb16S:QC_fastq_post_trim (10)	CACHED	0	2025-02-25 14:46:29.681	2.1s	112ms	204.1%	34.4 MB	1.4 GB	6.9 MB	1.6 MB
73	dc/2e5119	59650	pb16S:cutadapt (30)	CACHED	0	2025-02-25 14:45:16.683	3.5s	463ms	377.3%	20.1 MB	40.4 MB	77.2 MB	73.8 MB
70	32/9c2cbb	41580	pb16S:QC_fastq (34)	CACHED	0	2025-02-25 14:41:29.867	2.4s	346ms	231.8%	33.5 MB	1.4 GB	17.9 MB	6.8 MB
60	f7/0a14cc	40686	pb16S:QC_fastq (32)	CACHED	0	2025-02-25 14:41:24.744	2.6s	503ms	262.7%	33.5 MB	1.4 GB	26.9 MB	10.5 MB
43	6b/b309dd	72925	pb16S:QC_fastq_post_trim (17)	CACHED	0	2025-02-25 14:46:44.716	2.2s	160ms	222.7%	34.5 MB	1.4 GB	11 MB	2.9 MB
46	bf/0d97d0	33994	pb16S:QC_fastq (18)	CACHED	0	2025-02-25 14:40:47.648	2.7s	563ms	256.6%	35.7 MB	1.4 GB	31.6 MB	12.9 MB
54	d6/1078b2	38011	pb16S:QC_fastq (26)	CACHED	0	2025-02-25 14:41:10.172	2.4s	346ms	251.6%	34.5 MB	1.4 GB	18.1 MB	7.1 MB
64	a2/a56ca2	57008	pb16S:cutadapt (24)	CACHED	0	2025-02-25 14:44:55.865	3.5s	464ms	400.0%	19.7 MB	40.1 MB	82.4 MB	79.5 MB
50	f1/fbc966	35786	pb16S:QC_fastq (22)	CACHED	0	2025-02-25 14:40:57.962	2.6s	483ms	232.7%	39.7 MB	1.4 GB	27.2 MB	10.3 MB
67	37/b19fb4	66653	pb16S:QC_fastq_post_trim (2)	CACHED	0	2025-02-25 14:46:12.394	2.2s	182ms	209.2%	34.3 MB	1.4 GB	12 MB	2.5 MB
72	df/6615e6	72507	pb16S:QC_fastq_post_trim (16)	CACHED	0	2025-02-25 14:46:42.556	2.2s	181ms	215.1%	35 MB	1.4 GB	13 MB	3.2 MB
78	02/4bb980	67072	pb16S:QC_fastq_post_trim (3)	CACHED	0	2025-02-25 14:46:14.623	2.1s	80ms	186.3%	22.2 MB	713.6 MB	4.4 MB	1.1 MB
93	4d/396d4b	78360	pb16S:QC_fastq_post_trim (30)	CACHED	0	2025-02-25 14:47:12.248	2.1s	101ms	186.7%	33.8 MB	1.4 GB	6.1 MB	1.3 MB
84	85/31dd56	60537	pb16S:cutadapt (33)	CACHED	0	2025-02-25 14:45:23.624	3.6s	542ms	451.9%	20.2 MB	40.4 MB	113.3 MB	110.1 MB
75	1e/8b4830	42025	pb16S:QC_fastq (36)	CACHED	0	2025-02-25 14:41:32.267	3.4s	1.3s	264.4%	41.7 MB	1.4 GB	72 MB	27.1 MB
90	7f/7c795d	61845	pb16S:cutadapt (35)	CACHED	0	2025-02-25 14:45:34.149	3.4s	455ms	341.9%	19.9 MB	40.3 MB	72.5 MB	69.7 MB
69	6b/1ab0f9	59192	pb16S:cutadapt (29)	CACHED	0	2025-02-25 14:45:13.068	3.6s	604ms	455.5%	19.9 MB	40.3 MB	135.8 MB	132.8 MB
89	30/b5b752	54385	pb16S:cutadapt (18)	CACHED	0	2025-02-25 14:44:34.563	3.7s	735ms	597.1%	20.1 MB	40.4 MB	162.8 MB	159.8 MB
65	55/8e732c	41134	pb16S:QC_fastq (33)	CACHED	0	2025-02-25 14:41:27.300	2.6s	446ms	248.4%	34.3 MB	1.4 GB	23.3 MB	9.4 MB
77	fa/45f888	42973	pb16S:QC_fastq (38)	CACHED	0	2025-02-25 14:41:38.400	3.3s	1s	242.3%	33.5 MB	1.4 GB	62.4 MB	23.7 MB
87	75/acb7ec	44313	pb16S:QC_fastq (41)	CACHED	0	2025-02-25 14:41:47.130	3.3s	1.2s	236.4%	33.4 MB	1.4 GB	70.3 MB	26.2 MB
80	46/b973f0	57883	pb16S:cutadapt (26)	CACHED	0	2025-02-25 14:45:02.800	3.4s	458ms	353.7%	20.3 MB	40.6 MB	84.7 MB	82 MB
